Age,Reliability,Children,Income,Evidence of active listening,Yearly_equip_failure,Contract,Techie
0.092840576,-0.485003895,0.424900069,0.50944695,-0.481828447,-0.625863532,-0.050502501,-0.449197765
0.044526371,0.489878306,2.287884041,-0.306355116,2.434808643,-0.625863532,1.434865173,-0.449197765
0.237783191,1.464760506,-0.972337909,-0.860675604,1.46259628,-0.625863532,1.434865173,-0.449197765
-0.438615677,-1.459886095,-0.506591916,-0.979468774,0.490383916,2.519179341,1.434865173,-0.449197765
1.542266721,0.489878306,-0.506591916,-0.041240722,-2.426253175,-0.625863532,1.434865173,-0.449197765
0.189468986,-1.459886095,0.890646062,-0.058456527,-0.481828447,0.946657905,-0.050502501,-0.449197765
-0.293673063,2.439642707,-0.972337909,-0.697963087,1.46259628,-0.625863532,1.434865173,-0.449197765
-0.631872497,0.489878306,-0.040845924,0.732855235,0.490383916,-0.625863532,-0.050502501,2.22619095
0.479354215,-0.485003895,-0.506591916,-0.68547732,-0.481828447,-0.625863532,-1.535870175,-0.449197765
-0.486929882,0.489878306,-0.040845924,-0.279661858,0.490383916,0.946657905,1.434865173,-0.449197765
1.155753083,-1.459886095,-0.506591916,0.021434583,0.490383916,-0.625863532,-0.050502501,-0.449197765
1.493952517,0.489878306,-0.040845924,-1.082802261,1.46259628,0.946657905,1.434865173,2.22619095
-1.404899774,1.464760506,-0.506591916,0.699207708,-0.481828447,-0.625863532,-0.050502501,-0.449197765
-0.825129316,-0.485003895,-0.040845924,-0.363826599,-0.481828447,0.946657905,-1.535870175,-0.449197765
-0.197044653,1.464760506,0.890646062,1.11766391,1.46259628,0.946657905,-0.050502501,-0.449197765
0.092840576,0.489878306,2.287884041,-0.314497391,1.46259628,-0.625863532,-0.050502501,-0.449197765
-0.921757726,-0.485003895,-0.506591916,1.457501055,-0.481828447,-0.625863532,-1.535870175,-0.449197765
-0.245358858,1.464760506,-0.972337909,-0.230173776,0.490383916,0.946657905,1.434865173,-0.449197765
0.43104001,-0.485003895,0.890646062,-0.781658299,1.46259628,-0.625863532,-0.050502501,-0.449197765
0.575982624,-1.459886095,-0.972337909,-0.280522897,0.490383916,0.946657905,1.434865173,2.22619095
-1.549842389,0.489878306,-0.040845924,0.864212545,-0.481828447,-0.625863532,1.434865173,2.22619095
-0.245358858,0.489878306,-0.506591916,-1.164297711,-0.481828447,-0.625863532,-1.535870175,-0.449197765
-0.970071931,1.464760506,-0.506591916,-0.762388839,0.490383916,-0.625863532,-0.050502501,-0.449197765
-1.501528184,1.464760506,-0.040845924,0.641680549,-0.481828447,-0.625863532,1.434865173,-0.449197765
0.3344116,1.464760506,-0.506591916,0.476974663,0.490383916,0.946657905,-0.050502501,-0.449197765
0.044526371,-1.459886095,-0.972337909,-0.192382059,0.490383916,0.946657905,-0.050502501,2.22619095
0.914182058,-0.485003895,0.890646062,-0.059203375,-1.454040811,-0.625863532,-0.050502501,-0.449197765
-0.100416243,-0.485003895,0.424900069,0.143394587,-0.481828447,0.946657905,-0.050502501,2.22619095
-0.390301472,-0.485003895,3.219376026,-0.942276734,-0.481828447,0.946657905,1.434865173,-0.449197765
0.672611034,0.489878306,-0.040845924,-0.548972573,-0.481828447,-0.625863532,-1.535870175,-0.449197765
0.962496263,-0.485003895,-0.506591916,-0.395483949,0.490383916,-0.625863532,-0.050502501,-0.449197765
1.445638312,2.439642707,-0.506591916,0.726036434,1.46259628,2.519179341,-0.050502501,-0.449197765
-1.16332875,-0.485003895,0.890646062,0.536287379,-1.454040811,-0.625863532,-0.050502501,-0.449197765
-1.453213979,2.439642707,-0.972337909,2.613775761,-0.481828447,-0.625863532,-0.050502501,-0.449197765
0.044526371,-1.459886095,-0.506591916,0.459219468,0.490383916,0.946657905,-0.050502501,2.22619095
1.107438878,0.489878306,0.424900069,-0.69996603,-0.481828447,-0.625863532,1.434865173,-0.449197765
0.865867854,-1.459886095,-0.972337909,-0.583227579,-0.481828447,-0.625863532,-1.535870175,-0.449197765
-0.535244087,-0.485003895,0.890646062,-0.283613131,-0.481828447,-0.625863532,-1.535870175,-0.449197765
-1.549842389,-0.485003895,0.424900069,0.381418894,0.490383916,-0.625863532,-0.050502501,-0.449197765
1.010810468,-0.485003895,0.424900069,-0.593073845,0.490383916,0.946657905,-1.535870175,2.22619095
0.624296829,-0.485003895,-0.506591916,0.167918936,1.46259628,-0.625863532,-0.050502501,-0.449197765
-0.052102039,0.489878306,-0.506591916,-1.117918659,-0.481828447,0.946657905,-0.050502501,-0.449197765
0.865867854,-1.459886095,-0.972337909,0.312826964,-0.481828447,-0.625863532,-0.050502501,-0.449197765
-1.694785003,0.489878306,1.356392055,1.16164709,-1.454040811,0.946657905,-0.050502501,-0.449197765
1.059124673,-0.485003895,0.424900069,-0.937760892,0.490383916,-0.625863532,-0.050502501,-0.449197765
0.914182058,2.439642707,-0.506591916,0.373408895,-1.454040811,0.946657905,1.434865173,-0.449197765
0.237783191,0.489878306,-0.506591916,-0.685594347,-0.481828447,-0.625863532,1.434865173,2.22619095
-0.003787834,2.439642707,-0.040845924,0.159174501,-0.481828447,0.946657905,-0.050502501,2.22619095
-0.680186702,0.489878306,-0.506591916,-0.053217597,-0.481828447,-0.625863532,-0.050502501,-0.449197765
-0.003787834,0.489878306,-0.040845924,-0.170659987,0.490383916,0.946657905,-0.050502501,2.22619095
-0.776815111,1.464760506,-0.972337909,-0.731904601,-1.454040811,-0.625863532,-0.050502501,-0.449197765
0.092840576,-0.485003895,-0.506591916,-0.961205751,0.490383916,-0.625863532,-0.050502501,-0.449197765
0.044526371,-2.434768296,-0.972337909,0.015970109,-0.481828447,-0.625863532,1.434865173,-0.449197765
-0.052102039,1.464760506,-0.506591916,-0.39695814,0.490383916,0.946657905,-0.050502501,-0.449197765
1.735523541,0.489878306,-0.040845924,-0.44859208,-0.481828447,-0.625863532,-0.050502501,-0.449197765
1.252381492,0.489878306,-0.506591916,-0.970716538,-0.481828447,-0.625863532,-0.050502501,-0.449197765
0.044526371,0.489878306,0.424900069,0.135157626,0.490383916,-0.625863532,-1.535870175,-0.449197765
1.542266721,-0.485003895,-0.972337909,0.185166658,0.490383916,-0.625863532,1.434865173,-0.449197765
0.43104001,1.464760506,-0.040845924,-0.680666072,0.490383916,-0.625863532,-0.050502501,2.22619095
1.687209336,-0.485003895,-0.040845924,0.038026596,-0.481828447,-0.625863532,-0.050502501,-0.449197765
0.962496263,0.489878306,-0.040845924,0.680556721,-0.481828447,0.946657905,-0.050502501,-0.449197765
1.445638312,-1.459886095,2.753630034,-0.316363447,0.490383916,0.946657905,-1.535870175,-0.449197765
-0.052102039,-1.459886095,0.890646062,0.971633837,-0.481828447,-0.625863532,1.434865173,-0.449197765
0.141154781,-0.485003895,-0.040845924,-0.980651816,-1.454040811,2.519179341,-0.050502501,-0.449197765
-1.549842389,1.464760506,-0.972337909,0.144786505,-0.481828447,-0.625863532,-0.050502501,-0.449197765
1.687209336,-0.485003895,3.685122019,-1.35956408,0.490383916,-0.625863532,1.434865173,-0.449197765
1.349009902,-0.485003895,-0.972337909,0.64694714,-0.481828447,-0.625863532,1.434865173,-0.449197765
0.479354215,-0.485003895,-0.506591916,-0.942718956,0.490383916,-0.625863532,-0.050502501,-0.449197765
1.107438878,-1.459886095,-0.040845924,-0.428029644,0.490383916,-0.625863532,-0.050502501,-0.449197765
-0.825129316,-0.485003895,2.753630034,0.603158296,-0.481828447,0.946657905,-0.050502501,-0.449197765
0.624296829,1.464760506,0.424900069,-1.175856479,2.434808643,-0.625863532,1.434865173,-0.449197765
1.155753083,0.489878306,-0.040845924,-0.110935193,-0.481828447,-0.625863532,-1.535870175,-0.449197765
0.43104001,1.464760506,-0.506591916,-0.622012966,-1.454040811,-0.625863532,-1.535870175,-0.449197765
-0.535244087,-1.459886095,0.890646062,-0.378790866,1.46259628,-0.625863532,-1.535870175,-0.449197765
-1.06670034,0.489878306,0.890646062,-0.187750253,-1.454040811,0.946657905,-0.050502501,-0.449197765
-1.115014545,1.464760506,-0.040845924,1.106292031,1.46259628,0.946657905,-0.050502501,-0.449197765
-1.646470798,-0.485003895,0.890646062,-0.03165759,-1.454040811,-0.625863532,1.434865173,2.22619095
1.204067287,-0.485003895,-0.506591916,0.473484762,1.46259628,-0.625863532,-0.050502501,-0.449197765
-1.356585569,-0.485003895,-0.506591916,0.256070412,-2.426253175,0.946657905,-1.535870175,-0.449197765
-0.921757726,-0.485003895,-0.506591916,1.285747279,1.46259628,0.946657905,1.434865173,-0.449197765
-0.728500906,-0.485003895,-0.972337909,-0.633624928,0.490383916,-0.625863532,-0.050502501,-0.449197765
-0.680186702,0.489878306,0.890646062,-0.662404821,0.490383916,-0.625863532,-0.050502501,-0.449197765
1.542266721,2.439642707,-0.040845924,-0.273587068,1.46259628,-0.625863532,-1.535870175,-0.449197765
0.52766842,-0.485003895,-0.972337909,-0.888723898,-0.481828447,-0.625863532,-0.050502501,2.22619095
0.43104001,-0.485003895,0.890646062,-0.13006883,-0.481828447,2.519179341,-1.535870175,-0.449197765
0.479354215,0.489878306,-0.972337909,-0.727326344,-0.481828447,-0.625863532,-0.050502501,-0.449197765
0.044526371,-0.485003895,0.890646062,-0.823782516,0.490383916,-0.625863532,-0.050502501,-0.449197765
1.300695697,-0.485003895,-0.972337909,-0.899812429,-2.426253175,-0.625863532,-0.050502501,-0.449197765
0.865867854,1.464760506,-0.506591916,-0.306211491,2.434808643,-0.625863532,-0.050502501,-0.449197765
0.3344116,0.489878306,-0.972337909,-0.428789259,0.490383916,-0.625863532,-0.050502501,-0.449197765
0.479354215,-1.459886095,-0.506591916,-1.111648469,2.434808643,0.946657905,1.434865173,-0.449197765
-1.598156594,0.489878306,-0.972337909,-1.093029043,-0.481828447,2.519179341,-0.050502501,-0.449197765
0.479354215,-0.485003895,0.890646062,-0.258213559,-1.454040811,0.946657905,-0.050502501,2.22619095
1.397324107,-1.459886095,-0.506591916,0.830491965,0.490383916,0.946657905,-0.050502501,-0.449197765
