Age,Reliability,Children,Income,Evidence of active listening,Yearly_equip_failure,Contract,Techie,Churn
68,3,0,28561.99,4,1,0,0,0
27,3,1,21704.77,4,1,1,1,1
50,4,4,9609.57,3,1,2,1,0
48,2,1,18925.23,3,0,2,1,0
83,3,0,40074.19,5,1,1,0,1
83,2,3,22660.2,3,1,0,0,0
79,4,0,11467.5,5,1,1,1,1
30,5,2,26759.64,5,0,1,1,1
49,3,2,58634.51,4,3,1,0,0
86,2,1,50231.4,3,0,2,0,0
23,7,7,22580.7,4,2,1,0,0
56,4,2,18342.12,4,1,1,0,0
83,4,0,83671.08,3,0,1,0,0
29,2,5,115114.57,4,0,2,0,0
30,2,1,64256.81,2,0,1,0,1
39,2,3,89061.45,2,0,0,0,1
63,3,0,31659.3,3,0,1,0,1
60,3,2,44142.81,3,0,2,0,1
61,4,3,39262.14,5,0,2,1,0
23,4,3,19494.75,3,0,1,0,1
38,2,4,39624.21,3,3,1,0,0
30,4,3,45714.47,5,0,2,0,0
52,2,3,27442.03,5,1,1,0,0
68,5,2,79699.62,3,0,0,0,0
75,2,3,28520.32,4,0,1,0,1
77,4,1,12558.83,5,0,1,0,1
47,3,1,8762.23,4,1,1,0,1
70,4,0,43882.72,2,0,1,0,1
20,3,3,10482.52,2,0,0,1,1
69,3,4,33442.79,4,0,2,0,1
45,5,9,43383.54,2,0,2,0,0
40,3,0,21793.88,3,0,2,0,0
82,5,6,51960.51,5,0,1,0,1
74,3,5,25942.1,1,1,1,0,1
69,5,4,11211.59,5,0,0,0,1
52,4,1,8283.29,3,1,1,0,1
26,5,2,10114.81,5,1,1,0,1
25,2,1,36229.21,3,0,0,0,0
66,4,1,25397.44,5,0,2,0,0
72,6,1,50336.5,2,1,2,0,0
21,3,3,38211.37,4,0,1,0,0
55,3,3,52887.26,3,0,1,0,0
41,5,4,12003.33,4,2,2,0,1
32,3,4,24090.62,4,0,2,0,0
22,4,0,15137.93,4,0,2,0,1
44,2,2,54458.38,2,0,1,0,1
23,2,2,132116.33,3,0,1,0,1
43,4,3,37358.13,3,0,1,1,1
86,2,1,26534.16,3,2,2,0,0
84,3,2,76430.83,4,1,1,0,0
62,4,2,4662.37,4,0,1,0,1
68,5,5,43820.85,2,0,1,0,1
59,3,1,38391.55,4,0,1,0,0
31,4,0,44137.6,3,0,0,1,1
51,5,0,14364.65,4,0,1,0,1
58,6,1,62359.91,3,1,0,0,0
73,5,1,82634.86,4,1,1,0,1
33,5,1,15690.25,5,1,2,0,0
58,2,1,14568.7,4,0,2,0,1
49,4,0,29207.46,4,0,2,0,0
26,4,1,55319.23,4,0,0,0,0
25,2,1,81831.49,4,0,1,0,0
42,4,0,100076.65,4,0,1,0,1
81,3,1,69965.65,5,0,1,0,0
43,3,1,34883.69,3,0,1,1,0
63,3,2,45634.2,3,0,2,0,0
70,4,3,10964.73,3,1,1,0,1
78,6,1,22365.28,4,0,1,0,1
48,2,0,52636.6,1,1,1,0,0
63,5,1,19048.13,3,1,1,1,1
60,5,4,42784.82,5,0,0,0,1
87,5,0,77996.88,4,0,0,1,1
54,3,3,47507.3,3,0,2,0,0
35,3,3,7724.73,4,1,1,0,1
70,5,1,1509.52,4,0,1,0,1
67,3,2,81124.71,4,0,0,0,1
46,2,4,11795.57,2,0,2,0,1
50,4,1,74794.84,4,1,2,0,0
24,1,1,19038.78,3,0,1,0,1
20,4,0,79167.77,3,0,1,0,0
29,2,1,37428.26,4,1,0,0,1
31,4,0,45148.38,4,0,1,1,0
72,3,5,74855.47,4,0,2,0,0
71,3,4,45323.86,5,0,1,0,0
32,5,2,71596.14,2,0,0,0,0
33,3,0,10389.95,6,0,0,0,0
67,2,3,19657.14,3,0,1,1,0
66,6,0,27827.03,3,1,1,0,1
21,3,4,15609.05,5,0,1,0,1
61,4,0,19815.63,4,2,0,0,0
75,3,0,58482.9,3,0,1,0,1
63,2,0,41656.53,4,0,1,0,1
68,4,0,115510.46,3,0,2,0,0
32,3,2,15841.19,3,1,2,0,1
76,4,0,81127.41,3,0,2,0,0
29,5,0,24270.88,4,0,1,0,1
83,3,0,54466.33,4,1,1,0,0
23,4,10,64816.84,2,1,1,0,1
80,3,5,103311.26,5,0,1,0,0
20,5,0,40211.04,6,1,0,0,0
69,5,0,58077.38,3,1,1,0,1
32,4,1,43466.35,3,0,0,0,0
53,2,0,23289.77,3,0,1,0,1
25,4,2,49158.49,4,0,2,0,0
69,3,0,3805.84,4,2,1,0,1
71,2,3,52616.27,2,1,1,0,1
53,4,3,30550.42,3,0,1,0,1
56,3,2,12154.01,2,2,1,0,1
42,3,0,30649.31,3,2,1,0,1
33,2,3,31417.33,2,0,1,0,1
47,4,1,55861.19,3,0,1,0,0
48,4,1,9044.26,4,1,2,0,1
63,2,0,25381.66,3,0,1,0,1
40,3,1,65064.31,4,0,1,0,0
67,3,0,12527.51,4,0,1,1,1
56,4,0,35499.06,3,0,1,1,0
24,3,6,26282.4,3,0,0,1,0
79,4,2,51237.28,4,0,2,0,0
61,5,3,64222.21,4,1,1,0,1
38,4,0,11014.98,4,0,2,1,1
28,2,4,21172.49,3,0,2,1,0
44,3,3,26130.78,5,0,0,0,1
65,4,1,36478.21,4,0,1,1,0
35,3,3,54533.63,4,1,1,0,0
31,5,2,37103.18,2,1,2,0,0
34,3,2,74679.84,4,1,2,1,0
68,3,2,95028.57,3,0,1,0,1
62,2,0,34281.1,3,0,2,0,0
52,3,0,36240.81,5,1,2,0,0
32,4,5,9515.64,1,0,1,0,1
47,2,0,125814.88,2,1,1,0,1
66,6,8,12995.68,4,1,1,0,0
70,4,1,77531.43,3,0,1,0,1
41,4,3,87354.99,5,0,1,0,1
59,4,2,76567.85,4,0,1,0,0
46,4,1,30663.52,3,0,2,0,0
70,4,3,122957.19,2,0,0,0,0
89,1,1,31600.92,3,0,0,0,0
75,4,4,74638.78,5,1,0,0,1
26,4,0,32652.3,4,1,1,1,1
25,3,4,63650.54,3,1,2,0,0
84,4,1,28622.6,2,0,1,0,1
69,5,3,50252.79,4,2,1,0,0
31,4,3,19800.81,3,1,0,0,0
76,3,10,35954.77,2,0,1,0,1
75,4,8,36342.31,3,0,1,0,1
74,4,1,48715.53,2,0,2,0,1
49,2,1,23204.98,3,0,2,0,0
47,4,1,35302.52,2,1,1,0,1
20,3,4,54895.16,4,0,1,0,1
26,3,2,60398.06,3,0,0,0,1
72,5,2,8115.88,4,1,0,0,0
41,3,1,33858.66,4,0,1,1,0
26,3,3,29950.47,4,1,1,0,1
55,5,4,49421.69,4,0,0,0,0
46,4,1,11061.05,4,1,2,0,0
87,3,0,15388.32,2,2,0,1,1
39,4,1,20624.31,5,1,2,1,0
81,4,0,47877.81,3,0,2,0,1
83,1,0,46154.17,4,0,0,0,0
50,3,0,107111.8,3,0,1,0,1
87,3,3,10403.59,3,1,1,0,1
76,4,3,22412.6,3,0,2,0,0
25,2,6,19476.27,3,0,2,1,1
34,4,3,96382.76,4,0,2,0,1
46,2,1,28022.56,5,1,2,0,0
73,3,1,35478.4,2,0,1,0,0
57,4,8,10155.51,4,1,1,0,1
58,4,3,87537.25,5,1,2,0,0
70,4,4,34112.1,4,0,0,0,1
53,2,0,32653.51,3,0,1,0,1
31,5,0,35321.46,3,3,1,0,1
38,5,0,49277.48,3,0,0,0,0
26,4,0,37297.82,4,0,2,0,1
44,2,2,14928.96,3,0,0,0,0
66,4,3,24702.68,4,2,1,1,1
58,3,1,87535.71,3,1,2,0,0
51,3,6,63166.87,4,0,0,0,1
34,3,4,11856.81,4,0,0,0,0
87,3,0,27326.79,4,0,2,0,0
67,3,1,12779.23,3,1,1,0,1
59,4,4,25519.91,3,1,1,0,1
23,5,7,46871.21,5,0,0,0,0
42,2,0,77383.72,2,0,1,0,1
24,4,1,47395.3,3,0,2,0,1
81,2,2,90977.74,4,0,2,0,0
78,3,8,135727.71,3,0,1,0,0
51,3,1,47726.25,3,0,1,0,1
70,2,1,51721.64,3,0,0,0,0
87,4,0,41531.03,4,0,2,0,0
46,4,0,33504.8,3,0,0,0,0
56,4,8,34197.3,4,1,1,0,1
44,5,4,11518.58,3,0,2,1,1
33,4,0,31065.17,4,1,1,0,0
19,2,0,32097.17,2,1,1,0,1
31,2,1,23424.88,3,1,2,0,1
34,6,1,35988.24,5,0,0,0,0
43,4,4,35539.7,5,1,2,0,0
82,5,1,27959.34,3,0,1,0,0
36,5,6,52232.97,3,0,1,0,0
48,3,1,18198.59,5,0,1,0,1
52,4,0,16851.94,3,1,1,0,1
35,4,1,16440.05,5,0,1,0,1
83,3,3,44223.58,3,0,1,0,0
20,5,0,33343.73,4,0,2,0,0
25,4,0,30664.56,4,0,0,0,1
88,3,0,31934.04,5,0,1,0,0
54,3,1,26676.4,2,0,0,0,0
46,4,1,67211.95,3,1,1,0,1
75,4,2,31136.77,4,0,1,0,0
66,3,5,40660.84,3,1,1,0,0
51,5,0,10606.59,4,1,2,1,0
81,3,3,92447.71,3,0,0,0,0
75,2,0,13612.16,4,0,1,0,0
54,5,3,13765.39,3,0,1,0,1
73,2,2,53019.98,4,1,1,0,0
53,3,0,42523.02,3,1,1,0,0
33,4,8,52143.7,2,1,1,0,0
41,2,5,19097.94,2,1,2,0,0
59,4,1,11301.4,4,0,0,1,0
23,4,3,17814.0,4,0,1,0,1
32,3,1,22533.05,2,1,0,0,1
51,3,3,19974.4,2,0,1,0,1
46,5,1,45146.99,3,1,2,0,0
37,4,3,10330.1,4,0,1,0,1
53,4,0,15281.28,4,0,1,0,0
62,4,1,11217.96,2,0,1,0,1
57,4,1,17516.0,4,1,1,0,0
80,4,2,20566.64,4,0,0,0,1
43,3,1,36128.68,2,1,1,0,1
35,3,1,52129.84,3,0,1,1,1
63,4,1,25985.06,4,0,2,0,0
63,4,1,10909.79,1,0,2,0,1
27,6,1,41151.14,3,0,1,0,0
19,5,4,64063.23,2,0,2,0,0
40,5,1,20414.07,1,1,2,1,0
42,2,0,41412.1,2,0,1,0,1
40,4,0,99195.08,4,0,0,0,1
72,5,0,18408.94,3,0,1,1,0
61,3,3,15930.45,3,1,1,1,1
71,3,0,25611.29,4,0,1,0,0
68,3,4,9428.86,3,1,1,0,0
88,4,1,3810.16,2,1,1,0,0
64,3,1,118022.06,2,0,1,1,1
63,3,1,51992.79,2,1,1,0,1
53,3,0,79993.43,2,2,1,0,0
41,4,0,37706.85,3,0,2,1,0
63,2,2,22466.53,3,0,0,0,0
56,3,4,16608.27,5,0,2,0,0
27,5,2,25146.14,5,0,0,1,0
47,3,2,58882.35,3,0,0,0,0
42,3,4,31809.46,3,0,0,0,0
72,4,0,27235.54,6,0,1,0,1
58,3,3,70476.82,2,0,1,0,1
33,4,0,49396.09,2,0,1,0,1
87,4,6,35060.94,4,1,2,0,1
34,4,0,66055.53,4,0,1,0,0
76,2,7,91335.76,4,0,0,0,0
38,2,3,54349.75,3,1,1,1,0
47,4,0,75042.1,3,1,2,0,1
84,3,7,91001.1,6,0,1,0,1
19,3,4,44426.28,2,0,1,0,1
87,5,0,63284.16,3,1,2,0,0
75,2,3,14039.21,4,0,2,0,0
37,2,0,12453.24,4,1,1,0,1
52,3,1,15934.12,4,1,0,0,1
24,5,0,48314.4,3,0,1,0,1
83,4,4,5511.77,6,0,1,0,1
19,3,3,10701.11,4,1,1,0,1
78,4,1,10767.15,4,0,0,0,1
61,3,4,13493.63,3,1,0,0,0
38,1,0,25071.58,2,0,1,0,1
79,5,0,368.5,3,1,1,0,1
49,2,0,27976.63,2,1,2,0,0
41,2,0,56154.5,1,0,0,0,0
75,4,0,62145.59,3,1,0,0,0
60,4,1,6517.94,5,0,2,0,0
70,4,1,19090.03,4,0,1,0,0
23,4,0,13194.33,5,0,1,0,1
84,3,2,63963.36,3,0,1,1,1
63,5,1,34447.89,3,0,0,0,1
88,3,2,36315.29,4,0,1,0,0
44,3,0,5009.07,4,0,1,0,1
49,3,1,14202.72,4,0,1,1,1
32,5,8,54779.76,5,0,0,1,1
69,3,1,36453.31,3,0,0,0,0
60,5,2,11250.71,5,1,1,0,1
57,4,0,65951.35,3,0,1,1,0
62,4,8,15292.25,5,1,2,0,1
26,3,0,41879.1,2,1,1,0,0
85,3,0,17080.57,4,1,2,0,1
82,3,2,68122.23,3,0,0,0,0
40,3,2,39468.79,3,1,2,0,0
50,4,0,123763.12,3,0,1,0,1
71,3,1,84301.44,3,1,1,0,1
48,1,2,42469.81,3,0,1,0,0
24,2,0,75458.79,5,0,2,0,0
79,4,3,60345.9,5,0,2,0,0
82,4,4,76066.77,5,1,1,0,0
68,2,2,42755.27,3,1,1,1,1
77,3,5,76874.25,2,0,0,0,0
19,4,1,41075.64,3,1,0,1,0
80,3,1,63095.62,4,2,1,1,1
31,2,4,82131.87,2,0,2,0,1
62,3,2,28502.33,3,2,1,0,0
80,3,4,9450.84,4,1,1,0,1
36,4,1,44977.06,4,0,2,0,0
72,3,0,13583.35,3,0,2,0,0
50,3,0,42093.64,4,0,0,0,0
31,3,3,55398.87,4,0,2,0,0
22,4,0,22362.59,2,2,0,0,0
50,3,0,40271.47,3,0,1,1,1
28,4,0,56178.63,2,0,1,0,0
63,4,0,21053.35,3,1,1,0,0
73,2,1,75866.75,3,0,1,0,0
72,5,3,74061.48,4,0,1,0,0
23,3,7,35102.93,3,0,1,0,1
49,4,1,26391.1,3,0,0,0,1
82,4,1,29982.49,4,0,1,1,1
72,4,1,51154.34,2,0,0,0,0
45,2,1,37583.97,3,1,0,0,0
73,3,1,28654.87,4,0,1,0,0
78,4,1,119968.61,5,0,1,0,1
71,3,4,11591.09,4,0,1,0,0
67,5,4,70174.11,4,0,1,0,1
43,4,1,8495.04,5,2,2,1,0
27,5,5,17191.02,5,0,0,1,1
39,3,2,24732.09,5,1,1,0,1
52,4,0,27282.21,4,1,2,0,0
19,2,9,40902.49,3,1,1,0,1
48,3,0,87568.16,5,0,1,0,1
22,5,0,69327.78,3,1,1,0,1
69,3,1,5194.22,3,0,1,1,1
31,4,1,12951.51,4,0,0,0,0
79,3,9,11179.42,5,0,0,0,0
65,2,0,47288.09,5,0,1,1,0
49,4,4,114398.35,5,0,1,0,1
69,1,6,105646.73,5,0,0,1,1
74,2,3,42386.84,3,0,2,0,0
27,3,3,38864.57,4,0,1,0,1
79,3,4,25215.22,3,0,1,0,1
41,4,1,9302.3,5,0,2,0,0
51,4,0,45225.74,4,0,0,1,0
57,5,0,29976.15,5,0,1,0,1
66,2,1,13155.79,3,1,1,0,0
85,3,4,14980.5,4,0,1,0,1
54,3,9,24017.57,4,1,2,0,0
79,2,8,26204.77,4,0,2,0,1
56,3,3,27978.78,3,0,1,0,1
80,4,1,46622.3,4,0,1,0,1
37,3,0,34419.26,3,0,1,0,1
24,2,7,8507.97,2,0,2,0,0
48,4,3,64420.19,5,2,2,0,0
68,3,0,122263.81,3,0,1,0,1
74,5,3,64446.9,1,0,1,0,1
37,2,1,20647.83,4,0,2,0,0
54,2,0,23956.91,2,0,1,0,1
84,6,1,56003.36,3,0,2,0,0
68,4,10,50150.81,3,0,1,0,1
39,3,10,4180.22,4,0,2,0,0
85,4,4,70023.28,4,0,0,0,0
86,3,1,40728.96,3,0,2,0,1
70,3,1,69248.13,4,0,2,0,0
33,4,1,65187.42,4,0,1,0,1
58,3,1,26005.77,2,0,2,0,0
58,2,2,10423.75,3,1,0,0,0
42,3,4,28909.96,5,0,1,1,1
89,4,2,28219.28,5,0,0,0,0
63,4,2,67319.27,4,2,2,0,0
18,4,0,71348.1,4,1,1,0,1
82,5,4,39231.99,4,1,2,0,0
61,3,8,28129.21,2,0,0,0,0
36,4,7,69104.9,3,0,2,0,0
87,3,1,31282.78,3,0,2,0,0
48,4,0,65229.24,3,0,1,0,1
56,4,8,15110.46,4,0,2,0,1
57,2,0,66922.3,5,0,1,0,0
89,3,3,1666.59,3,0,1,0,1
30,3,6,50258.38,2,0,1,0,0
54,2,4,54373.35,3,0,2,0,1
55,4,5,33588.84,5,1,1,1,0
46,4,1,23629.05,5,2,0,1,1
18,4,0,91186.03,4,0,2,0,0
58,5,0,20204.74,3,0,1,0,0
60,1,1,37703.83,4,0,1,0,1
62,3,2,29117.32,4,0,1,1,0
30,3,4,52531.72,3,0,1,0,0
75,2,4,25742.72,3,0,1,0,1
23,4,7,21072.82,4,1,1,0,1
84,4,1,37774.81,2,0,1,0,1
